['凉拌金针菇', 'http://www.xiachufang.com/recipe/104018067/', '金针菇、青辣椒、红辣椒、葱姜蒜、醋、生抽、盐、香油、蒜']
['停不下来的秘制凉拌鸡爪', 'http://www.xiachufang.com/recipe/104013468/', '鸡爪、小米椒、线椒、大蒜、冰糖、柠檬、生抽、醋、蚝油、姜、花椒']
['炒方便面￨幸福感爆棚', 'http://www.xiachufang.com/recipe/103847222/', '方便面、火腿肠、鸡蛋、小白菜、胡萝卜、圆白菜']
['蒜蓉粉丝煲', 'http://www.xiachufang.com/recipe/103845821/', '粉丝、蚝油、生抽、蒜、小葱、小米椒、五花肉馅']
['《Tinrry+》教你做广式大月饼（芋泥+麻薯+咸蛋黄肉松）', 'http://www.xiachufang.com/recipe/103976542/', '月饼转化糖浆、食用枧水、花生油、中筋面粉、香芋蓉、猪肉松、市售咸蛋黄、无盐黄油、雪媚娘皮、蛋黄、食用水']
['我的三明治我做主', 'http://www.xiachufang.com/recipe/103708253/', '吐司片、鸡蛋、火腿肠、鸡胸、或其它肉类、各种蔬菜、抹酱']
['葱爆虾仁', 'http://www.xiachufang.com/recipe/102182292/', '虾仁、小葱、姜末、蒜末、盐、糖、花雕酒/料酒、淀粉、清水']
['干煸四季豆', 'http://www.xiachufang.com/recipe/102417426/', '四季豆、干辣椒、花椒、蒜、糖、盐、生抽、耐心']
['最省力气、不需摔面快速出手套膜（后酵母法）', 'http://www.xiachufang.com/recipe/102209285/', '高筋粉（普通面粉不可以）、砂糖或者绵白糖、盐、常温牛奶或者水（和面用）、鸡蛋、耐高糖酵母（一定要耐高糖的）、常温牛奶或者水（溶解酵母用）、黄油室温软化']
['蛋糕卷，肉松蛋糕卷，网红贝贝肉松卷', 'http://www.xiachufang.com/recipe/103699409/', '鸡蛋、低筋面粉、砂糖、玫瑰盐海盐、玉米油、牛奶、沙拉酱、肉松、葱花']
['香辣烧鸡爪', 'http://www.xiachufang.com/recipe/101805440/', '鸡爪、小米椒、八角和桂皮、姜、酒酿汁、冰糖、油、盐、生抽、陈醋、鸡精（可不放）、葱花']
['全麦吐司', 'http://www.xiachufang.com/recipe/102339202/', '450克土司模两个量、高筋面粉、全麦面粉、红糖、盐、奶粉、蜂蜜、即溶干酵母、冰水（泡全麦粉用）、水（主面团用）、无盐黄油']
['红烧鸡翅', 'http://www.xiachufang.com/recipe/103898965/', '鸡翅中、老抽、油、糖、盐、生姜、料酒、蚝油、生抽']
['木须肉', 'http://www.xiachufang.com/recipe/103826893/', '木耳、鸡蛋、黄瓜、胡萝卜、肉、料酒、酱油、耗油、盐、淀粉、醋、香油']
['烤箱版甜甜圈', 'http://www.xiachufang.com/recipe/100608690/', '鸡蛋、细砂糖、低粉、玉米油、泡打粉、香草精、盐、黄油']
['凉拌木耳', 'http://www.xiachufang.com/recipe/103746003/', '木耳、大蒜 \r小葱 \r花椒 \r干辣椒面、食用油  \r生抽 \r醋 \r芝麻油 \r藤椒油/花椒油 \r盐 \r糖']
['💐蒜蓉西兰花💐', 'http://www.xiachufang.com/recipe/104012295/', '西兰花、蒜蓉、蚝油、生抽、淀粉、水']
['转化糖浆', 'http://www.xiachufang.com/recipe/100563258/', '砂糖、水、新鲜柠檬汁']
['手撕包菜好吃的秘密', 'http://www.xiachufang.com/recipe/103725984/', '包菜、干辣椒、蒜']
['黑椒牛柳', 'http://www.xiachufang.com/recipe/103485171/', '牛肉、鸡蛋、洋葱、蚝油、料酒、淀粉、生抽、黑胡椒']
['（免烤）6寸可可慕斯', 'http://www.xiachufang.com/recipe/103472926/', '慕斯底：、奥利奥饼干碎、黄油、慕斯部分：、吉利丁、牛奶、奶油奶酪、白砂糖、淡奶油、黑巧克力']
['黑米奶香馒头', 'http://www.xiachufang.com/recipe/100479128/', '普通面粉、黑米粉、酵母、白糖、牛奶']
['超软牛奶面包', 'http://www.xiachufang.com/recipe/100472956/', '高筋面粉、细砂糖、盐、全蛋液、牛奶、酵母、黄油、装饰用、白芝麻、全蛋液、8寸圆模、6寸圆模']
['陕西私房炒饼[内附饼丝做法]', 'http://www.xiachufang.com/recipe/102817756/', '❴做饼の用料❵、面粉(普通/中筋)、温水、食盐、植物油、❴炒饼の配菜❵、洋葱、胡萝卜、包菜、青红尖椒、豆芽、植物油        适量、白胡椒粉    适量、❴蒜泥辣油の用料❵、蒜、花椒粉、辣椒面、十三香、盐、植物油、香醋、蚝油']
['广式月饼', 'http://www.xiachufang.com/recipe/102794777/', '⚠️月饼皮、中筋面粉、枧水、转化糖浆、花生油、奶粉（没有可用等量中粉替换）、芝士粉（没有可用等量奶粉或3克中粉替代）、⚠️月饼馅料、⚠️防粘粉、玉米淀粉、⚠️表面蛋液、蛋黄、鸡蛋']
